word,core_level,advanced_level
aaaah,a1,a1
aaah,a1,a1
aah,a1,a1
aardvark,a2,a2
aback,b1,b1
abacus,a2,a2
abalone,b2,b2
abandon,a2,b2
abandoned,a2,a2
abandonment,b1,b1
abase,c1,c1
abasement,c1,c1
abash,b2,b2
abashed,b2,b2
abate,b2,b2
abatement,b2,b2
abattoir,b2,b2
abaya,b2,b2
abbess,b2,b2
abbot,b2,b2
abbreviate,b2,b2
abbreviated,b2,b2
abbreviation,b1,b1
abdicate,c1,c1
abdication,c1,c1
abdomen,b1,b1
abdominal,b1,b1
abduct,b2,b2
abducted,b2,b2
abductee,b2,b2
abduction,b2,b2
abductor,b2,b2
abed,a2,a2
aberrant,c1,c1
aberration,c1,c1
aberrational,c2,c2
abet,c1,c1
abeyance,c1,c1
abhor,b2,b2
abhorrence,c1,c1
abhorrent,b2,b2
abide,b1,b1
abiding,b1,b1
ability,a2,a2
abiotic,c1,c1
abject,c1,c1
abjection,c2,c2
abjectly,c1,c1
abjure,c2,c2
ablate,c1,c1
ablation,c1,c1
ablative,c2,c2
ablaze,a2,a2
able,a2,a2
ablution,c1,c1
ably,b1,b1
abnegation,c2,c2
abnormal,b1,b1
abnormality,b2,b2
abnormally,b2,b2
aboard,a2,a2
abode,a2,a2
abolish,c1,c1
abolishment,c1,c1
abolition,b2,b2
abolitionism,c1,c1
abolitionist,c1,c1
abominable,b2,b2
abominably,b2,b2
abomination,c1,c1
aboriginal,b2,b2
aborigine,b2,b2
abort,b2,b2
aborted,b2,b2
abortifacient,c1,c1
abortion,c1,c1
abortionist,c1,c1
abortive,c1,c1
abound,b2,b2
about,a1,a1
above,a1,a1
abracadabra,a2,a2
abrade,c1,c1
abraded,c1,c1
abrahamic,b2,b2
abrasion,b2,b2
abrasive,b2,b2
abrasiveness,c1,c1
abreast,b2,b2
abridge,c1,c1
abridged,c1,c1
abridgement,c1,c1
abridgment,c1,c1
abroad,a2,a2
abrogate,c1,c1
abrogation,c1,c1
abrupt,b1,b1
abruptly,b1,b1
abruptness,b2,b2
abs,a2,a2
abscess,b2,b2
abscessed,c1,c1
abscond,c1,c1
absence,b2,c1
absent,b2,c1
absentee,b2,b2
absenteeism,b2,b2
absently,b1,b1
absentmindedly,b1,b1
absinthe,b2,b2
absolute,b2,b2
absolutely,b1,b1
absoluteness,c1,c1
absolution,c1,c1
absolutism,c1,c1
absolutist,c1,c1
absolve,c1,c1
absorb,b2,b2
absorbable,b2,b2
absorbance,c1,c1
absorbed,b1,b1
absorbency,b2,b2
absorbent,b2,b2
absorber,b2,b2
absorbing,b2,b2
absorption,b2,b2
absorptive,c1,c1
abstain,b2,b2
abstainer,b2,b2
abstemious,c1,c1
abstention,c1,c1
abstinence,b2,b2
abstinent,b2,b2
abstract,b2,b2
abstracted,b2,b2
abstractedly,b2,b2
abstraction,b2,b2
abstractionist,c1,c1
abstractly,b2,b2
abstractness,c1,c1
abstruse,c1,c1
absurd,b2,c1
absurdity,b2,b2
absurdly,b1,b1
abundance,b2,c1
abundant,b1,b1
abundantly,b1,b1
abuse,b2,c1
abused,b1,b1
abuser,b2,b2
abusive,b2,b2
abusively,b2,b2
abusiveness,c1,c1
abut,c1,c1
abutment,c1,c1
abysmal,b2,b2
abysmally,b2,b2
abyss,b2,b2
abyssinian,b2,b2
acacia,b2,b2
academe,c1,c1
academia,b2,b2
academic,b2,b2
academically,b2,b2
academician,c1,c1
academy,b2,c1
acadian,c2,c2
accede,c1,c1
accelerant,c1,c1
accelerate,b2,c1
accelerated,b2,b2
accelerating,b2,b2
acceleration,b2,b2
accelerative,c1,c1
accelerator,b1,b1
accelerometer,c1,c1
accent,a2,b2
accented,b2,b2
accentual,c1,c1
accentuate,b2,b2
accentuated,b2,b2
accentuation,c1,c1
accept,a2,a2
acceptability,c1,c1
acceptable,a2,b2
acceptably,b2,b2
acceptance,b2,c1
accepted,a2,a2
acceptor,c1,c1
access,b1,b1
accessibility,b2,b2
accessible,b2,c1
accession,c1,c1
accessorize,b2,b2
accessory,b1,b1
accident,a2,a2
accidental,a2,a2
accidentally,a2,b2
acclaim,b2,b2
acclaimed,b2,b2
acclamation,c1,c1
acclimate,b2,b2
acclimation,c1,c1
acclimatization,c1,c1
acclimatize,b2,b2
acclimatized,b2,b2
accolade,b2,b2
accommodate,a2,b2
accommodating,b2,b2
accommodation,b1,b1
accommodationist,c1,c1
accommodative,b2,b2
accompaniment,b1,b1
accompanist,b2,b2
accompany,b2,b2
accompanying,a2,a2
accomplice,b2,b2
accomplish,b2,b2
accomplished,b1,b1
accomplishment,b2,c1
accord,b1,b1
accordance,b2,c1
according,a2,a2
accordingly,b2,c1
accordion,a2,a2
accordionist,b2,b2
accost,c1,c1
account,a2,b2
accountability,b2,c1
accountable,b2,c1
accountancy,b2,b2
accountant,b2,b2
accounting,b1,b1
accouterments,c2,c2
accoutrement,c1,c1
accredit,b2,b2
accreditation,b2,b2
accredited,b2,b2
accrediting,c1,c1
accrete,c1,c1
accretion,b2,b2
accrual,b2,b2
accrue,b2,b2
accrued,b2,b2
acculturate,c1,c1
acculturation,c1,c1
acculturative,c1,c1
accumulate,b2,c1
accumulated,b2,b2
accumulating,b2,b2
accumulation,b2,c1
accumulative,b2,b2
accumulator,b2,b2
accuracy,a2,b2
accurate,a2,b2
accurately,a2,b2
accursed,c1,c1
accusation,b2,c1
accusatory,b2,b2
accuse,b2,b2
accused,b2,c1
accuser,b2,b2
accusing,b2,b2
accusingly,b2,b2
accustom,b1,b1
accustomed,b1,b1
ace,a2,a2
acellular,c1,c1
acequia,c2,c2
acerbic,c1,c1
acerbically,c1,c1
acetaldehyde,c1,c1
acetaminophen,b2,b2
acetate,b2,b2
acetic,b2,b2
acetone,b2,b2
acetylcholine,c1,c1
acetylene,b2,b2
ach,a2,a2
achaemenid,c2,c2
ache,a2,a2
achievable,b2,b2
achieve,a2,a2
achieved,b2,b2
achievement,b1,b1
achiever,b2,b2
aching,a2,a2
achingly,a2,a2
achromat,c2,c2
achromatic,c1,c1
achy,a2,a2
acid,b2,c1
acidic,b2,b2
acidification,c1,c1
acidify,c1,c1
acidity,b2,b2
acidly,b2,b2
acidophilus,b2,b2
acidosis,c1,c1
ackee,c2,c2
acknowledge,a2,b2
acknowledged,b1,b1
acknowledgement,b1,b1
acknowledgment,b1,b1
acme,c1,c1
acne,a2,a2
acolyte,c1,c1
aconite,c1,c1
acorn,a1,a1
acoustic,b1,b1
acoustical,b1,b1
acoustically,b1,b1
acoustician,c1,c1
acquaint,b1,b1
acquaintance,a2,a2
acquaintanceship,b2,b2
acquiesce,c1,c1
acquiescence,c1,c1
acquiescent,c1,c1
acquire,a2,b2
acquired,b2,b2
acquirer,b2,b2
acquisition,b2,c1
acquisitive,c1,c1
acquisitiveness,c1,c1
acquit,b2,b2
acquittal,b2,b2
acre,b2,c1
acreage,b2,b2
acrid,c1,c1
acrimonious,c1,c1
